"","cog_formal_atg","cog_formal_gtg","cog_formal_ttg"
"S",16360,1484,121
"K",394,45,2
"D",102,13,0
"E",795,95,6
"P",358,28,2
"N",140,17,0
"G",368,35,1
"I",319,34,2
"O",322,29,0
"J",721,59,2
"X",83,5,1
"Q",87,3,0
"U",54,9,1
"W",7,1,0
"R",300,25,2
"V",213,21,1
"F",344,30,5
"C",431,38,2
"M",519,48,8
"T",339,34,4
"H",548,48,3
"L",329,31,2
